abeierbianhuan 阿贝尔变换
changqiwuguzhangcaozuo 长期无故障操作
changqiyujiandingshiyan 长期预鉴定试验
changqiang 场强
changshaxian 厂沙线
changshibiaozhun 昌实标准
changshiyunxingxitong 长时运行系统
changshoumingdianlan 长寿命电缆
changtongdao 长通道
changtudianhua 长途电话
changtudianhuadianlan 长途电话电缆
changtudianhuaganxianduan 长途电话干线段
changtudianhuaju 长途电话局
changtudianlan 长途电缆
changtuhaididianlanxitong 长途海底电缆系统
changtushujuchuanshuxian 长途数据传输线
changtutongxin 长途通信
changtutongxindianlan 长途通信电缆
changtutongxinguanglan 长途通信光缆
changtutongxinjishu 长途通信技术
changtutongxintongzhouxian 长途通信同轴线
changtutongxinwangluo 长途通信网络
changtutongxinxitong 长途通信系统
changtuyinrudianlan 长途引入电缆
changtuzengyinzhan 长途增音站
changtuzonghedianlan 长途综合电缆
changxianxiaoying 长线效应
changxinglianxuhunlianji 长型连续混炼机
changyonglaxiangongju 常用拉线工具
chaobaobireshousuoguan 超薄壁热收缩管
chaobiaoshijian 抄表时间
chaochangjuliguanglan 超长距离光缆
chaochungaodaodianwuyangtongxian 超纯高导电无氧铜线
chaochunjingdianlanliao 超纯净电缆料
chaochunjinghunhewu 超纯净混合物
chaochunjingzushuishujiaolianjuyixijueyuanliao 超纯净阻水树交联聚乙烯绝缘料
chaochunshiyingboli 超纯石英玻璃
chaocujinji 超促进剂
chaodaikuanlouxietongzhoudianlan 超带宽漏泄同轴电缆
chaodaocailiao 超导材料
chaodaodai 超导带
chaodaoti 超导体
chaodaotongzhoudianlan 超导同轴电缆
chaodaoxian 超导线
chaodaoxingchaodaodianxing 超导性超导电性
chaodimidujuyixi 超低密度聚乙烯
chaodipinfushe 超低频辐射
chaodipinjiediantexing 超低频介电特性
chaodishuangzhesheguangxian 超低双折射光纤
chaodisunhaoguangxian 超低损耗光纤
chaodiyinxiang 超低音箱
chaoduanbo 超短波
chaoduanguangmaichong 超短光脉冲
chaoganxian 超干线
chaogaojishu 超高技术
chaogaomiduguanglan 超高密度光缆
chaogaopinbo 超高频波
chaogaoqiangdugangxinlvbaogangjiaoxian 超高强度钢芯铝包钢绞线
chaogaoqiangduguangxian 超高强度光纤
chaogaosuhuanxingbiaozhiqi 超高速环形标志器
chaogaosujiaoxianji 超高速绞线机
chaogaoya 超高压
chaogaoyadianlan 超高压电缆
chaogaoyadianwang 超高压电网
chaogaoyashiyan 超高压试验
chaogaoyashiyanshi 超高压试验室
chaogaoyashudian 超高压输电
chaogaoyashudianxitong 超高压输电系统
chaogaoyashudianxian 超高压输电线
chaogongchaxiancai 超公差线材
chaoguolvbomo 超过滤薄膜
chaohejinxian 超合金线
chaohuanxianghuilu 超幻象回路
chaojijueyuan 超级绝缘
chaojimeiti 超级媒体
chaojipaomo 超级泡沫
chaojiyanmo 超级研磨
chaojiegou 超结构
chaojingbiaomianjiagong 超净表面加工
chaojingjiagong 超精加工
chaolianxu 超连续
chaolinjiehailengquedianlanchaodaoti 超临界氦冷却电缆超导体
chaolvxitong 超滤系统
chaomojiguangqi 超模激光器
chaonairehejin 超耐热合金
chaopaomogaofapaojueyuangongyi 超泡沫高发泡绝缘工艺
chaopaomojueyuan 超泡沫绝缘
chaopingbidianlan 超屏蔽电缆
chaoqiangduxianwei 超强度纤维
chaorenxianpan 超韧线盘
chaorenxianxingdimidujuyixihutaoliao 超韧线性低密度聚乙烯护套料
chaoruanxiguxian 超软细股线
chaoshengbaopishebei 超声剥皮设备
chaoshengbodakong 超声波打孔
chaoshengbofa 超声波法
chaoshengbogutiyanchixian 超声波固体延迟线
chaoshengbohanjiezhuangpeifa 超声波焊接装配法
chaoshengbohouduceliangxitong 超声波厚度测量系统
chaoshengbojishu 超声波技术
chaoshengbojianceyi 超声波检测仪
chaoshengbojiancha 超声波检查
chaoshengbojiaolian 超声波交联
chaoshengbojingmiceshixitong 超声波精密测试系统
chaoshengbolasiji 超声波拉丝机
chaoshengbolasimodakongji 超声波拉丝模打孔机
chaoshengbolasimojiagongji 超声波拉丝模加工机
chaoshengbolaxian 超声波拉线
chaoshengbolaxianshiyanzhuangzhi 超声波拉线试验装置
chaoshengbopaoguanggongyi 超声波抛光工艺
chaoshengboqingxi 超声波清洗
chaoshengboqingxiji 超声波清洗机
chaoshengboqingxijizu 超声波清洗机组
chaoshengboqingxiqi 超声波清洗器
chaoshengboqingxishebei 超声波清洗设备
chaoshengboqingxizhuangzhi 超声波清洗装置
chaoshengboshuchugonglv 超声波输出功率
chaoshengboxiancaiqingxishebei 超声波线材清洗设备
chaoshengbozhendongmo 超声波振动模
chaoshengfashengqi 超声发生器
chaoshenghanji 超声焊极
chaoshenglaxianji 超声拉线机
chaoshishentou 潮湿渗透
chaoshishiyan 潮湿试验
chaosuguzhangtingji 超速故障停机
chaosushiyan 超速试验
chaosushiyanguifan 超速试验规范
chaosuxing 超塑性
chaosuxingmeihejin 超塑性镁合金
chaotan 超探
chaotiao 超调
chaoweikongfapaojuhewujueyuandianxian 超微孔发泡聚合物绝缘电线
chaoweikongpaomojuhewu 超微孔泡沫聚合物
chaoxidiancixian 超细电磁线
chaoxijingangshilaxianmo 超细金刚石拉线模
chaoximokong 超细模孔
chaoximokongjingmijiagongji 超细模孔精密加工机
chaoxishifenmo 超吸湿粉末
chaoxishifenmotianchongzhidai 超吸湿粉末填充纸带
chaoxishixingcailiao 超吸湿性材料
chaoxishuijuhewu 超吸水聚合物
chaoxishuipengzhangfen 超吸水膨胀粉
chaoxixian 超细线
chaoxixianmo 超细线模
chaoxixianqibaoji 超细线漆包机
chaoxianxingfangdaqi 超线性放大器
chaoxiaoxinghua 超小型化
chaoxiaoxingtongzhoudianlan 超小型同轴电缆
chaoyanghuawu 超氧化物
chaoyingcailiao 超硬材料
chaoyingjingmimuju 超硬精密模具
chaoyunchang 晁运常
chaozhongxingheiselvhuajuyixihutao 超重型黑色氯化聚乙烯护套
chaozhongxingshuangjiaqianyinjigou 超重型双夹牵引机构
chaozhuqun 超主群
chegonggongyi 车工工艺
chejixixianxingongyi 车挤细线新工艺
chejiandimianbanyunche 车间地面搬运车
chejianmianji 车间面积
cheliangyongdianlan 车辆用电缆
cheliangyongdianxian 车辆用电线
chepingmian 车平面
chendian 衬垫
chendianqi 沉淀器
chenjiyanchen 沉积烟尘
chenjuan 陈涓
chenjunmin 陈军民
chenkuai 衬块
chenlimin 陈利民
chenluo 沉落
chenmoxingdaoxianglun 沉没型导向轮
chenwushiyanfa 尘雾试验法
chengbaomujuzhizaochang 承包模具制造厂
chengbaoren 承包人
chengcengjiegou 成层结构
chengdangjiange 撑挡间隔
chengduandianlan 成端电缆
chengheji 成核剂
chenghuan 成环
chengkanyuan 成勘院
chengkongjisuanji 程控计算机
chengkunfangxianzhuangzhi 成捆放线装置
chenglagoujian 承拉构件
chenglan 成缆
chenglanbaodai 成缆包带
chenglancailiao 成缆材料
chenglancailiaobaofucailiao 成缆材料包覆材料
chenglancaozuo 成缆操作
chenglanfangxianzhuangzhi 成缆放线装置
chenglangongduan 成缆工段
chenglangongyi 成缆工艺
chenglangoujian 成缆构件
chenglanguangxian 成缆光纤
chenglanhebaodaishengchanxian 成缆和包带生产线
chenglanji 成缆机
chenglanjiao 成缆角
chenglanjieju 成缆节距
chenglanshebei 成缆设备
chenglansunhao 成缆损耗
chenglanxingneng 成缆性能
chenglanyongxianpan 成缆用线盘
chengli 成粒
chengliqi 成粒器
chenglisuo 承力索
chengliangdai 称量带
chengliangzhuangzhi 称量装置
chengmoxingneng 成膜性能
chengpandianlanchangdu 成盘电缆长度
chengpanshouxianzhuangzhi 成盘收线装置
chengpantongxian 成盘铜线
chengpanxianchangdu 成盘线长度
chengpishengchan 成批生产
chengpinbaozhuang 成品包装
chengpinchicun 成品尺寸
chengpindan 成品单
chengpindianlan 成品电缆
chengpindianlandebiaochengzhijing 成品电缆的标称直径
chengpinhengjiemian 成品横截面
chengpinjianyan 成品检验
chengpinpan 成品盘
chengpinsi 成品丝
chengpinwaijing 成品外径
chengpinxian 成品线
chengpinxianchicun 成品线尺寸
chengpinxianpan 成品线盘
chengpinzhacaidebiaozhunchangdu 成品轧材的标准长度
chengquan 成圈
chengquanbaozaji 成圈包扎机
chengquandianlan 成圈电缆
chengquanfurao 成圈复绕
chengquanfuraoji 成圈复绕机
chengquanfuraozhuangzhi 成圈复绕装置
chengquanji 成圈机
chengquanjibaozaji 成圈机包扎机
chengquanjuanrao 成圈卷绕
chengquanlvgan 成圈铝杆
chengquanshebei 成圈设备
chengquanshengchanxian 成圈生产线
chengquanshiyan 成圈试验
chengquanshouraobaozhuang 成圈收绕包装
chengquanshouxiantong 成圈收线筒
chengquanshouxianzhuangzhi 成圈收线装置
chengquantonggan 成圈铜杆
chengquantongganfangxianjia 成圈铜杆放线架
chengquantou 成圈头
chengquanxiangan 成圈线杆
chengquanxing 成圈性
chengquanzhuangzhi 成圈装置
chengshipeidianwang 城市配电网
chengshudaoxian 成束导线
chengshudianlan 成束电缆
chengshudianlanchuizhiranshaoceshi 成束电缆垂直燃烧测试
chengshudianxianchuizhiranshaoceshi 成束电线垂直燃烧测试
chengshuguangxian 成束光纤
chengtaodonglizhuangzhi 成套动力装置
chengtaofangxian 成套放线
chengtaofujian 成套附件
chengtaogongju 成套工具
chengtaogongsi 成套公司
chengtaoshebei 成套设备
chengtaoshebeifahuodan 成套设备发货单
chengtaoshiyanyiqi 成套试验仪器
chengtaosuo 成套所
chengtaoxian 成套线
chengtaozhuangbei 成套装备
chengxianqu 承线区
chengxianquchangdu 承线区长度
chengxianquzhijing 承线区直径
chengxingdaoti 成型导体
chengxingdaoti 成形导体
chengxingdianlan 成型电缆
chengxinggun 成型辊
chengxinghanjiezhuangzhi 成型焊接装置
chengxingji 成型机
chengxingmo 成型模
chengxingmojia 成型模架
chengxingquanxian 成型圈线
chengxingraozu 成形绕组
chengxingshebei 成型设备
chengxingtai 成型台
chengxingxian 成型线
chengxingxing 成型性
chengxingzhagun 成型轧辊
chengxingzhuangzhi 成型装置
chengxuchengquanji 程序成圈机
chengxukongzhideqiegeji 程序控制的切割机
chengxukongzhiqi 程序控制器
chengxukongzhiwanquji 程序控制弯曲机
chengxukongzhixitong 程序控制系统
chengxuluojikongzhiqi 程序逻辑控制器
chengxushejiqi 程序设计器
chengzaiyewu 承载业务
chengzhenqi 成帧器
chengzu 成组
chengzubianpinqi 成组变频器
chengzujishu 成组技术
chicunfanwei 尺寸范围
chicungongcha 尺寸公差
chicunjiancha 尺寸检查
chicuntu 尺寸图
chicunwucha 尺寸误差
chiduceliangzhuangzhi 弛度测量装置
chigaobi 齿高比
chilunpidai 齿轮皮带
chilunxiang 齿轮箱
chimiankuandu 齿面宽度
chishen 齿深
chixingpidaichuandong 齿形皮带传动
chixushijian 持续时间
chiyaban 齿压板
chiyapian 齿压片
chongdiandianlan 充电电缆
chongdiandianya 充电电压
chongdiandianya 冲电电压
chongdianjiezhi 充电介质
chongdianshebei 充电设备
chongdianshigaokongyeyaqian 充电式高空液压钳
chongdieraobao 重叠绕包
chongdieraobaojiao 重叠绕包角
chongduanshiyan 冲锻试验
chongfenjubulaolian 充分局部老炼
chongfuguaqishiyanji 重复刮漆试验机
chongfushiyan 重复试验
chonghezha 重合闸
chongjibodianya 冲击波电压
chongjibotexing 冲击波特性
chongjichongjibo 冲击冲击波
chongjicuixingshiyan 冲击脆性试验
chongjidianyashiyan 冲击电压试验
chongjifuzaishiyan 冲击负载试验
chongjijichuandianyashiyan 冲击击穿电压试验
chongjilashenshiyan 冲击拉伸试验
chongjiqiangdu 冲击强度
chongjishidianliuji 冲击式电流计
chongjishiyan 冲击试验
chongjishiyanji 冲击试验机
chongjishiyanshebei 冲击试验设备
chongjiyingxiang 冲击影响
chongjiaodianlan 充胶电缆
chongkongmo 冲孔模
chongmu 冲模
chongpianchongzhi 冲片冲制
chongpianjueyuan 冲片绝缘
chongpianlaji 冲片垃圾
chongpianmaoci 冲片毛刺
chongpianqumao 冲片去毛
chongqidaotiyureqi 充气导体预热器
chongqidianlan 充气电缆
chongqidianlanjietou 充气电缆接头
chongqidianlanxianluchuqizhan 充气电缆线路储气站
chongqifa 充气阀
chongqijietou 充气接头
chongqishebei 充气设备
chongqishi 充气式
chongqiweihuguanglan 充气维护光缆
chongqizhongduan 充气终端
chongqieshiyang 冲切试样
chongshakong 冲沙孔
chongshazha 冲沙闸
chongtoubing 冲头柄
chongxicao 冲洗槽
chongxinbuxian 重新布线
chongyaqu 冲压区
chongyawanquji 冲压弯曲机
chongyeguangxian 充液光纤
chongyoudianlan 充油电缆
chongyoudianlanjietou 充油电缆接头
chongyoushi 充油式
chongyouyalicao 充油压力槽
chongzaifenchadianlan 重载分叉电缆
chouqinengli 抽气能力
choutou 抽头
choutoudianlan 抽头电缆
choutouyinxian 抽头引线
choutouzongxian 抽头总线
chouyangjunlie 臭氧龟裂
chouyangshiyan 抽样试验
chubianningjiao 触变凝胶
chubusheji 初步设计
chuchangbianhao 出厂编号
chuchangchangdu 出厂长度
chuchangjianyan 出厂检验
chuchangshiyan 出厂试验
chuchangxianpan 出厂线盘
chuciji 除刺机
chucizhuangzhi 除刺装置
chudaiqi 储带器
chufashiyan 触发时延
chufeijueduibiyao 除非绝对必要
chufengqu 出风区
chugan 出杆
chuganguan 出杆管
chujihuilu 初级回路
chujufasonglianlu 出局发送链路
chukoudianlan 出口电缆
chukouduan 出口端
chukouduandianya 出口端电压
chukoulaba 出口喇叭
chukoulianjietou 出口连接头
chukoumifengzhuangzhi 出口密封装置
chukouzhaban 出口闸板
chulaxiancai 初拉线材
chulanqi 储缆器
chulicuoshi 处理措施
chulishiyan 出力试验
chuliyijian 处理意见
chuliaoqu 出料区
chuliaowendu 出料温度
chumeiji 触媒剂
chumeishi 触媒室
chupaibuxian 触排布线
chuqi 除气
chuqi 储器
chuqiji 除气剂
chuqilv 除气率
chuqipingcunfangzhan 储气瓶存放站
chuqiqi 除气器
chuqizhuangzhi 除气装置
chuque 处缺
chusherushejiao 出射入射角
chushijiekousulv 初始接口速率
chushixingnengshiyan 初始性能试验
chusudianliuzhuangtai 初速电流状态
chutan 初探
chuwuta 除污塔
chuxianban 出线板
chuxianchicun 出线尺寸
chuxianchuxianqi 出线储线器
chuxiandaolun 出线导轮
chuxiandaoxianggun 出线导向辊
chuxianduan 出线端
chuxianfenxianban 出线分线板
chuxiangeng 出线梗
chuxiangulun 出线鼓轮
chuxianjiao 出线角
chuxianjiemian 出线截面
chuxianlabakou 出线喇叭口
chuxianlun 出线轮
chuxianlvdaishiqianyinzhuangzhi 出线履带式牵引装置
chuxianmo 出线模
chuxianpan 储线盘
chuxianqi 储线器
chuxianqidechuxianrongliang 储线器的储线容量
chuxianqirongliang 储线器容量
chuxianqianyinlun 出线牵引轮
chuxianqu 出线区
chuxianqugaodu 出线区高度
chuxiansudu 出线速度
chuxiantou 出线头
chuxianzhao 出线罩
chuxianzhijing 出线直径
chuxianzhuangzhi 出线装置
chuxuqi 储蓄器
chuyakongxing 初轧孔型
chuyayagun 初轧轧辊
chuyang 初样
chuyoucao 除油槽
chuyouqingxijiganzaolixinji 除油清洗及干燥离心机
chuzha 初扎
chuzhaji 初轧机
chuzhajijizuo 初轧机机座
chuzhenzhuandongzhuangzhi 触针转动装置
chuanbochangshu 传播常数
chuanbosudu 传播速度
chuanboxishu 传播系数
chuanboyanchi 传播延迟
chuancijueyuanlianjie 穿刺绝缘连接
chuancijueyuanlianjieqi 穿刺绝缘连接器
chuandaoxing 传导性
chuandiceng 传递层
chuandilv 传递率
chuandishilianxuhunlianji 传递式连续混炼机
chuandiwang 传递网
chuandongbi 传动比
chuandongjijia 传动机架
chuandongluogan 传动螺杆
chuandongqiqudongqi 传动器驱动器
chuangandaolun 传感导轮
chuanganjishu 传感技术
chuangantou 传感头
chuanguandaoxian 穿管导线
chuanhangshujuchuanshu 串行数据传输
chuanhangtongguofangshi 串行通过方式
chuanhangweihujiekou 串行维护接口
chuanhuabuchang 串话补偿
chuanhuaganrao 串话干扰
chuanhuapinghengjia 串话平衡架
chuanhuayinliang 串话音量
chuanhuazaosheng 串话噪声
chuanji 串激
chuanjieyinshu 串接因数
chuanjiezhuangzhi 传劫装置
chuanlian 串连
chuanliandaoti 串联导体
chuanliandianluchuanlian 串联电路串联
chuanliandianzu 串联电阻
chuanlianganraodianya 串联干扰电压
chuanlianlianjie 串联连接
chuanlianxiezhenshiyanbianyaqi 串联谐振试验变压器
chuanlieshichenglanji 串列式成缆机
chuanlieshichenglanjijisushengchanxian 串列式成缆及挤塑生产线
chuanlieshidalaji 串列式大拉机
chuanlieshidianhuaxianshengchanxian 串列式电话线生产线
chuanlieshifangxianzhuangzhi 串列式放线装置
chuanlieshijichuji 串列式挤出机
chuanlieshilaxianjueyuanshengchanxian 串列式拉线绝缘生产线
chuanlieshilaxianqibaojizu 串列式拉线漆包机组
chuanlieshisanjijiaxiancaiyabianji 串列式三机架线材压扁机
chuanlieshisanjijiaxiancaiyabianzhengbianji 串列式三机架线材压扁整边机
chuanlieshisedaifangsongzhuangzhi 串列式色带放送装置
chuanlieshishuangjiaoji 串列式双绞机
chuanlieshituihuozhuangzhi 串列式退火装置
chuanlieshixiancaizhaji 串列式线材轧机
chuanlieshizhaji 串列式轧机
chuanlieshizhuangzhi 串列式装置
chuanmo 穿模
chuanmoji 穿模机
chuanmojiatou 穿模夹头
chuanmoyatouji 穿模轧头机
chuanqiangdaoguan 穿墙导管
chuanqiangguan 穿墙管
chuanqiangtaoguan 穿墙套管
chuanraocichang 串绕磁场
chuanrelilun 传热理论
chuanshubupinghengdu 传输不平衡度
chuanshucanshu 传输参数
chuanshudaikuan 传输带宽
chuanshudianlan 传输电缆
chuanshugonglv 传输功率
chuanshuhuiji 传输会集
chuanshujiezhi 传输介质
chuanshujuli 传输距离
chuanshulujing 传输路径
chuanshupindai 传输频带
chuanshushebei 传输设备
chuanshushuaijian 传输衰减
chuanshutexing 传输特性
chuanshutonglu 传输通路
chuanshuxiangudingqi 传输线固定器
chuanshuzhiliang 传输质量
chuansongche 传送车
chuansongqi 传送器
chuansongxitongyongdianlan 传送系统用电缆
chuansongzhuangzhi 传送装置
chuantongshejidefangxianjia 传统设计的放线架
chuanweifanglancao 船尾放缆槽
chuanweifanglanhualun 船尾放缆滑轮
chuanxian 穿线
chuanxiancaozuo 穿线操作
chuanxianhuan 穿线环
chuanxianji 穿线机
chuanxianjiatou 穿线夹头
chuanxiankong 穿线孔
chuanxiangguangxian 传像光纤
chuanxinluogan 穿心螺杆
chuanxingduankouchuanshu 串行端口传输
chuanxingjiekou 串行接口
chuanxingtongxin 串行通信
chuanyin 串音
chuanyinceliangfa 串音测量法
chuanyinceshiqi 串音测试器
chuanyinceshiyi 串音测试仪
chuanyinchuanshudangliang 串音传输当量
chuanyindanwei 串音单位
chuanyindianlan 传音电缆
chuanyindianliu 串音电流
chuanyindianlu 串音电路
chuanyindianluchuanyinouhe 串音电路串音耦合
chuanyindianping 串音电平
chuanyinfangweidu 串音防卫度
chuanyinlilun 串音理论
chuanyinlujing 串音路径
chuanyinouhe 串音耦合
chuanyinouhesunhao 串音耦合损耗
chuanyinpinlvtexing 串音频率特性
chuanyinpingheng 串音平衡
chuanyinshuaijian 串音衰减
chuanyinshuaijiandangliang 串音衰减当量
chuanyinsunhao 串音损耗
chuanyintexing 串音特性
chuanyinxinhao 串音信号
chuanyinyinshu 串音因数
chuanyinyuanli 串音原理
chuanyongbuxiandianlan 船用布线电缆
chuanyongdianlan 船用电缆
chuanyongdianlidianlan 船用电力电缆
chuanyongmifengdianlan 船用密封电缆
chuanyongruantongzhoudianlan 船用软同轴电缆
chuanzhentongxin 传真通信
chuanzhujueyuan 串珠绝缘
chuichu 吹除
chuidu 垂度
chuiduganshouyuanjian 垂度感受元件
chuidukongzhi 垂度控制
chuidukongzhihuan 垂度控制环
chuiganqi 吹干器
chuiqipengzhangfapaomojuyixi 吹气膨胀法泡沫聚乙烯
chuizhianzhuang 垂直安装
chuizhidingweixianpan 垂直定位线盘
chuizhiduanmian 垂直断面
chuizhifushe 垂直敷设
chuizhijiaozhu 垂直浇铸
chuizhijuli 垂直距离
chuizhipianzhen 垂直偏振
chuizhipianzhendiancibo 垂直偏振电磁波
chuizhiranshaoshiyan 垂直燃烧试验
chuizhishengjiangshilanpanjia 垂直升降式缆盘架
chuizhishengjiangshishoufangxianzhuangzhi 垂直升降式收放线装置
chuizhituojiaranshaoshiyan 垂直托架燃烧试验
chuizhiweizhi 垂直位置
chuizhixuanguashiyan 垂直悬挂试验
chunjiujing 纯酒精
chunlv 纯铝
chunlvjizhichaodaoti 纯铝基质超导体
chunqian 纯铅
chunshiyingguangxian 纯石英光纤
chunshiyingxinguangxian 纯石英芯光纤
chuntong 纯铜
cibanyaban 磁板压板
cicanliangceliangfa 磁参量测量法
cichangbianhua 磁场变化
cichangloucitongliang 磁场漏磁通量
cidaisunshi 磁带损失
cidaoti 磁导体
cidaoxian 次导线
cidiantanceshebei 疵点探测设备
ciefa 磁轭法
cifenhanji 磁粉焊剂
cifentanshangshebei 磁粉探伤设备
ciganying 磁感应
ciguangxiaoying 磁光效应
cihuaanza 磁化安匝
cihualv 磁化率
cijichongpian 磁极冲片
cijidaizhuangzhi 次基带装置
cijitiexin 磁极铁心
cilifenliqi 磁力分离器
ciqi 瓷漆
citao 瓷套
citaofengbizhongduan 瓷套封闭终端
citaoguan 瓷套管
citongdanwei 磁通单位
cixingcailiao 磁性材料
cixinggangban 磁性钢板
ciyagai 瓷压盖
cizhi 磁滞
cizhihuwaizhongduantaoguan 瓷质户外终端套管
cizhishensuodexuanzhuannieguan 磁致伸缩的旋转镍管
cizhuciguanbuxian 瓷珠瓷管布线
congdongfangxianxitong 从动放线系统
congdonglun 从动轮
congguntongshangqiexiaxiangtiao 从滚筒上切下橡条
congyuan 丛源
cudu 粗度
cuguangxian 粗光纤
cujiagong 粗加工
cujiehuaxian 粗节花线
cujinji 促进剂
cula 粗拉
culanwang 粗缆网
culanyitaiwang 粗缆以太网
cusuan 醋酸
cusuan 粗算
cusuanjiaobu 醋酸胶布
cutong 粗铜
cuxixianlaxianjizhonglaji 粗细线拉线机中拉机
cuxian 粗线
cuxiandianlan 粗线电缆
cuxiangan 粗线杆
cuxinguangxian 粗芯光纤
cuzha 粗轧
cuzhagun 粗轧辊
cuzhaji 粗轧机
cuzhajilie 粗轧机列
cuzhajizuo 粗轧机座
cuzhajizuoshangzhazhi 粗轧机座上轧制
cuzhakongxing 粗轧孔型
cuihuadefeiqijinghua 催化的废气净化
cuihuadian 脆化点
cuihuadianhuo 催化点火
cuihuajichengxing 催化剂成型
cuihuajimuliao 催化剂母料
cuihuajinongsuowu 催化剂浓缩物
cuihuajizaiti 催化剂载体
cuihuajizhijiezhuru 催化剂直接注入
cuihualu 催化炉
cuihuamuliao 催化母料
cuihuaqi 催化器
cuihuaqiti 催化气体
cuihuaranshao 催化燃烧
cuihuaranshaolu 催化燃烧炉
cuihuaranshaoqibaoji 催化燃烧漆包机
cuihuazhuangzhi 催化装置
cuihuazuoyong 催化作用
cuihuo 淬火
cuihuogang 淬火钢
cuihuohehuihuogongxu 淬火和回火工序
cuihuojia 淬火架
cuihuolu 淬火炉
cuihuoshixiao 淬火时效
cuixing 脆性
cuixingwendu 脆性温度
cuiying 淬硬
cunfangjibanyun 存放及搬运
cunhuokucunliang 存货库存量
cunqukongzhiyu 存取控制域
cuonian 搓捻
cuoxie 锉屑
cuozhenshijian 错帧时间
dabanduijie 搭板对接
dacaoxie 打槽楔
dacha 大差
dachangdu 大长度
dachangduguangxian 大长度光纤
dachengshiquyuwang 大城市区域网
dadanjinxing 大胆进行
dadanwei 大单位
dadianliutuihuozhuangzhi 大电流退火装置
dadianliuzhiliushudiandianlan 大电流直流输电电缆
dagonglvcifumada 大功率伺服马达
dagonglvdianlan 大功率电缆
daguangpan 大光盘
daguimochangqiyanzhengshiyan 大规模长期验证试验
daguimofangreshiyan 大规模放热试验
daguimojicheng 大规模集成
daguimoshengchan 大规模生产
dahan 搭焊
dahaoguan 打号管
dahaoguangxian 大号光纤
dahaoxian 大号线
dahaoxiancuxian 大号线粗线
dahuanshiyan 打环试验
dajiangji 打浆机
dajie 搭接
dajiedi 大接地
dajiefeng 搭接缝
dajiegangdaikaizhuang 搭接钢带铠装
dajiehan 搭接焊
dajiejietou 搭接接头
dajiemiandianlan 大截面电缆
dajiemianxingxianzhaji 大截面型线轧机
dajiemo 搭接模
dajiepingbi 搭接屏蔽
dajieraobao 搭接绕包
dajieraobaodai 搭接绕包带
dajieraobaopingbi 搭接绕包屏蔽
dajingong 大金工
dajingquduan 大径区段
dakongji 打孔机
dakongjingguangxianzhui 大孔径光纤锥
dakuadujiakongdianlan 大跨度架空电缆
dakuajuxianlu 大跨距线路
dakuandulishixianpan 大宽度立式线盘
dala 大拉
dalaji 大拉机
dalishenguangxian 大力神光纤
daloubaoan 大楼保安
daloubaojie 大楼保洁
daloudianti 大楼电梯
dalouneifenzhidianlan 大楼内分支电缆
dalouneitongxinguanglan 大楼内通信光缆
daloutongxinxitong 大楼通信系统
dalujiadianlan 大陆架电缆
daluomao 大螺帽
daqikongzhilu 大气控制炉
daqiwuran 大气污染
darongliangdianlan 大容量电缆
darongliangdianlanxitong 大容量电缆系统
darongliangdianrong 大容量电容
darongliangfadianjizu 大容量发电机组
darongliangshudianxianlu 大容量输电线路
darongliangxianpan 大容量线盘
dashuaijiandianlan 大衰减电缆
datongzhoudianlan 大同轴电缆
daxitonglilun 大系统理论
daxinjingdashuzhikongjingguangxian 大芯径大数值孔径光纤
daxinjingguangxian 大芯径光纤
daxinshuguanglan 大芯数光缆
daxingdianlan 大型电缆
daxingshouxianzhuangzhi 大型收线装置
daxingshujuku 大型数据库
daxingxiangpidairaobaoji 大型橡皮带绕包机
dayadianyuan 打压电源
dayinbiaozhiji 打印标志机
dayinqu 打印区
dayinshuchu 打印输出
dayinzhuangzhi 打印装置
dazhijingdianlan 大直径电缆
dazhijingpaomojueyuanzhouwentongzhoudianlan 大直径泡沫绝缘皱纹同轴电缆
dazhijingxianpanshouxianji 大直径线盘收线机
dazhongxiaozhijing 大中小直径
daibaojueyuandaoti 带包绝缘导体
daibaoshidianrongzhui 带包式电容锥
daibaotou 带包头
daibiaoyangpin 代表样品
daibuchong 待补充
daicaiqingxizhuangzhi 带材清洗装置
daicaisuanxishebei 带材酸洗设备
daicaizhazhi 带材轧制
daicaodesuliaogan 带槽的塑料杆
daicaodewuxinchengquanjitou 带槽的无芯成圈机头
daicaoqianyinlun 带槽牵引轮
daicaoxian 带槽线
daidangshuicengdedianhuadianlan 带挡水层的电话电缆
daidixianjiakongdianlan 带地线架空电缆
daidiandianlan 带电电缆
daidiankeli 带电颗粒
daidianouhezhuang 带电偶合装
daidianshebei 带电设备
daidianzuoyeyonggangju 带电作业用钢锯
daiduanliejiankongqi 带断裂监控器
daiertashimianraobaoji 代尔他石棉绕包机
daifuhechabalianjieqi 带负荷插拔连接器
daiganzaoqidejialiaodou 带干燥器的加料斗
daigang 带钢
daigoudaoxian 带钩导线
daiguanshichuxianqidejiaohezhuangzhi 带管式储线器的绞合装置
daiji 带基
daijichu 带挤出
daijiduihan 带极堆焊
daijimitoudejichuji 带计米头的挤出机
daijiangshijiaobanqideaoliaoguan 带浆式搅拌器的熬料罐
daijiaodudetuixianhuan 带角度的推线环
daijueyuan 带绝缘
daijueyuandianlan 带绝缘电缆
daikongzhibidediandongzhuanpanfangxianzhuangzhi 带控制臂的电动转盘放线装置
daikuanleijiafaze 带宽累加法则
dailishifangxianpandezaixianlaxianji 带立式放线盘的在线拉线机
